Date,Adj Close,Adj Close - Dow Jones,Adj Close – NASDAQ,Spx – Adj Close,Adj Close IEF,Adj Close SHY,Adj Close TIP,CWSR0000SA0,INDPRO,IR3TIB01USM156N,Brent,Crude Oil,Gold,Natural gas,S&P GSCI
1990-05-01,92.980003,,459,361.23,,,,127.5,62.8126,8.35,,,,,
1990-06-01,91.150002,,462.299988,358.02,,,,128.2,63.0256,8.23,,,,,
1990-07-01,87.169998,,438.200012,356.15,,,,128.8,62.9353,8.1,,,,,
1990-08-01,86.559998,,381.200012,322.56,,,,129.9,63.172,7.97,,,,,
1990-09-01,86,,344.5,306.05,,,,130.9,63.1832,8.06,,,,,
1990-10-01,83.279999,,329.799988,304,,,,131.7,62.7886,8.06,,,,,
1990-11-01,82.93,,359.100006,322.22,,,,132.1,62.0154,8.03,,,,,
1990-12-01,83.07,,373.799988,330.22,,,,132.5,61.5915,7.82,,,,,
1991-01-01,82,,414.200012,343.93,,,,132.9,61.3624,7.17,,,,,
1991-02-01,84.080002,,453.100006,367.07,,,,132.9,60.9255,6.52,,,,,
1991-03-01,92.019997,,482.299988,375.22,,,,133,60.5853,6.45,,,,,
1991-04-01,91.540001,,484.720001,375.34,,,,133.3,60.7604,6.06,,,,,
1991-05-01,93.129997,,506.109985,389.83,,,,133.8,61.3572,5.91,,,,,
1991-06-01,96.059998,,475.920013,371.16,,,,134.1,61.8396,6.07,,,,,
1991-07-01,93.489998,,502.040009,387.81,,,,134.3,62.0065,5.98,,,,,
1991-08-01,93.489998,,525.679993,395.43,,,,134.6,62.0141,5.65,,,,,
1991-09-01,89.900002,,526.880005,387.86,,,,135,62.5457,5.47,,,,,
1991-10-01,89.93,,542.97998,392.45,,,,135.2,62.4572,5.33,,,,,
1991-11-01,88.190002,,523.900024,375.22,,,,135.8,62.371,4.94,,,,,
1991-12-01,83.519997,,586.340027,417.09,,,,136.2,62.0999,4.47,,,,,
1992-01-01,87.489998,,620.210022,408.78,,,,136.2,61.7744,4.05,,,,,
1992-02-01,88.989998,,633.469971,412.7,,,,136.5,62.2167,4.07,,,,,
1992-03-01,89.650002,,603.77002,403.69,,,,136.9,62.7223,4.25,,,,,
1992-04-01,89.620003,,578.679993,414.95,,,,137.2,63.1981,4,,,,,
1992-05-01,87.220001,,585.309998,415.35,,,,137.5,63.4008,3.82,,,,,
1992-06-01,83.720001,,563.599976,408.14,,,,138,63.4358,3.86,,,,,
1992-07-01,81.910004,,580.830017,424.21,,,,138.4,64.013,3.37,,,,,
1992-08-01,78.879997,,563.119995,414.03,,,,138.7,63.6652,3.31,,,,,
1992-09-01,81.099998,,583.27002,417.8,,,,139,63.8563,3.13,,,,,
1992-10-01,87.629997,,605.169983,418.68,,,,139.5,64.3089,3.26,,,,,
1992-11-01,90.839996,,652.72998,431.35,,,,139.8,64.563,3.58,,,,,
1992-12-01,92.360001,,676.950012,435.71,,,,140.1,64.6477,3.48,,,,,
1993-01-01,92.459999,,696.340027,438.78,,,,140.5,64.9199,3.19,,,,,
1993-02-01,94.050003,,670.77002,443.38,,,,140.8,65.2156,3.12,,,,,
1993-03-01,91.870003,,690.130005,451.67,,,,141,65.1605,3.11,,,,,
1993-04-01,89.489998,,661.419983,440.19,,,,141.4,65.3503,3.09,,,,,
1993-05-01,89.080002,,700.530029,450.19,,,,141.8,65.0993,3.1,,,,,
1993-06-01,93.629997,,703.950012,450.53,,,,142,65.2428,3.21,,,,,
1993-07-01,95.370003,,704.700012,448.13,,,,142.1,65.3988,3.16,,,,,
1993-08-01,93.949997,,742.840027,463.56,,,,142.4,65.3265,3.14,,,,,
1993-09-01,92.82,,762.780029,458.93,,,,142.5,65.6562,3.12,,,,,
1993-10-01,95.080002,,779.26001,467.83,,,,143.2,66.1632,3.24,,,,,
1993-11-01,96.209999,,754.390015,461.79,,,,143.4,66.4831,3.35,,,,,
1993-12-01,96.839996,,776.799988,466.45,,,,143.7,66.8399,3.26,,,,,
1994-01-01,95.589996,,800.469971,481.61,,,,143.8,67.0596,3.15,,,,,
1994-02-01,94.550003,,792.5,467.14,,,,144,67.106,3.43,,,,,
1994-03-01,93.059998,,743.460022,445.77,,,,144.3,67.7792,3.77,,,,,
1994-04-01,92.120003,,733.840027,450.91,,,,144.5,68.1906,4.01,,,,,
1994-05-01,92.519997,,735.190002,456.5,,,,144.8,68.5136,4.51,,,,,
1994-06-01,89.620003,,705.960022,444.27,,,,145.3,68.9608,4.52,,,,,
1994-07-01,89.870003,,722.159973,458.26,,,,145.9,69.0536,4.73,,,,,
1994-08-01,89.669998,,765.619995,475.49,,,,146.5,69.5074,4.81,,,,,
1994-09-01,87.879997,,764.289978,462.71,,,,146.8,69.7304,5.03,,,,,
1994-10-01,85.690002,,777.48999,472.35,,,,146.9,70.2734,5.51,,,,,
1994-11-01,89.129997,,750.320007,453.69,,,,147.3,70.7471,5.79,,,,,
1994-12-01,88.730003,,751.960022,459.27,,,,147.6,71.4653,6.29,,,,,
1995-01-01,87.989998,,755.200012,470.42,,,,148,71.5873,6.24,,,,,
1995-02-01,85.93,,793.72998,487.39,,,,148.4,71.4827,6.16,,,,,
1995-03-01,81.900002,,817.210022,500.71,,,,148.6,71.5962,6.15,,,,,
1995-04-01,81.800003,,843.97998,514.71,,,,149.2,71.4939,6.11,,,,,
1995-05-01,82.57,,864.580017,533.4,,,,149.5,71.8245,6.02,,,,,
1995-06-01,81.580002,,933.450012,544.75,,,,149.8,72.0577,5.9,,,,,
1995-07-01,81.57,,1001.210022,562.06,,,,149.9,71.7421,5.77,,,,,
1995-08-01,85.57,,1020.109985,561.88,,,,150.2,72.6863,5.77,,,,,
1995-09-01,84.290001,,1043.540039,584.41,,,,150.4,72.989,5.73,,,,,
1995-10-01,83.660004,,1036.060059,581.5,,,,150.8,72.8743,5.79,,,,,
1995-11-01,85.260002,,1059.199951,605.37,,,,150.9,73.0432,5.74,,,,,
1995-12-01,84.760002,,1052.130005,615.93,,,,151.3,73.3148,5.62,,,,,
1996-01-01,87.379997,,1059.790039,636.02,,,,152,72.9017,5.39,,,,,
1996-02-01,86.290001,,1100.050049,640.43,,,,152.3,73.955,5.15,,,,,
1996-03-01,86.519997,,1101.400024,645.5,,,,152.9,73.8546,5.29,,,,,
1996-04-01,88.019997,,1190.52002,654.17,,,,153.4,74.6152,5.36,,,,,
1996-05-01,87.779999,,1243.430054,669.12,,,,153.8,75.15,5.36,,,,,
1996-06-01,87.82,,1185.02002,670.63,,,,154,75.719,5.46,,,,,
1996-07-01,85.900002,,1080.589966,639.95,,,,154.3,75.7189,5.53,,,,,
1996-08-01,86.360001,,1141.5,651.99,,,,154.5,76.0875,5.4,,,,,
1996-09-01,87.940002,,1226.920044,687.33,,,,154.9,76.5959,5.51,,,,,
1996-10-01,87.43,,1221.51001,705.27,,,,155.4,76.5662,5.41,,,,,
1996-11-01,87.919998,,1292.609985,757.02,,,,155.9,77.2493,5.38,,,,,
1996-12-01,88.18,,1291.030029,740.74,,,,156.3,77.7342,5.44,,,,,
1997-01-01,93.040001,,1379.849976,786.16,,,,156.6,77.8711,5.43,,,,,
1997-02-01,94.889999,,1309,790.82,,,,156.9,78.7993,5.37,,,,,
1997-03-01,94.720001,,1221.699951,757.12,,,,156.9,79.2746,5.53,,,,,
1997-04-01,97.18,,1260.76001,801.34,,,,157,79.3464,5.71,,,,,
1997-05-01,94.849998,,1400.319946,848.28,,,,157,79.773,5.7,,,,,
1997-06-01,95.669998,,1442.069946,885.14,,,,157.3,80.1365,5.66,,,,,
1997-07-01,99.639999,,1593.810059,954.31,,,,157.4,80.7798,5.6,,,,,
1997-08-01,99,,1587.319946,899.47,,,,157.8,81.6119,5.6,,,,,
1997-09-01,97.110001,,1685.689941,947.28,,,,158.2,82.4022,5.6,,,,,
1997-10-01,95.639999,,1593.609985,914.62,,,,158.4,83.1064,5.65,,,,,
1997-11-01,97.790001,,1600.550049,955.4,,,,158.6,83.7534,5.74,,,,,
1997-12-01,99.650002,,1570.349976,970.43,,,,158.6,84.1331,5.8,,,,,
1998-01-01,100.790001,,1619.359985,980.28,,,,158.8,84.5113,5.54,,,,,
1998-02-01,99.82,,1770.51001,1049.34,,,,158.7,84.6409,5.54,,,,,
1998-03-01,101.5,,1835.680054,1101.75,,,,158.7,84.6684,5.58,,,,,
1998-04-01,99.709999,,1868.410034,1111.75,,,,158.8,84.9827,5.58,,,,,
1998-05-01,100.449997,,1778.869995,1090.82,,,,159.3,85.5129,5.59,,,,,
1998-06-01,101.169998,,1894.73999,1133.84,,,,159.5,84.998,5.6,,,,,
1998-07-01,101.199997,,1872.390015,1120.67,,,,159.8,84.6664,5.59,,,,,
